Date,Product,Amount,Qty Sold
2029-01-02,Golden Fiesta Cooking Oil 1L,600.00,10
2029-01-03,Lucky Me Pancit Canton,660.00,11
2029-01-04,Argentina Corned Beef 175g,720.00,12
2029-01-05,Century Tuna Flakes in Oil,780.00,13
2029-01-06,Nescafé 3-in-1 Original,840.00,14
2029-01-07,San Miguel Pale Pilsen 330ml,900.00,15
2029-01-08,Coca-Cola 1.5L,960.00,16
2029-01-09,Milo Powdered Drink 33g Sachet,1020.00,17
2029-01-10,Kopiko 3-in-1 Coffee Sachet,1080.00,18
2029-01-11,Sky Flakes Crackers,1140.00,19
2029-01-12,Chippy Barbecue 110g,1200.00,20
2029-01-13,Surf Detergent Powder 65g,1260.00,21
