date,product,sku,quantity,category,cost_price,selling_price
2023-08-01,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,1,Pantry,60.00,75.00
2023-08-01,Lucky Me Pancit Canton,PNT-LMC-55G,7,Pantry,10.00,14.00
2023-08-01,Argentina Corned Beef 175g,CAN-ACB-175,3,Canned Goods,45.00,55.00
2023-08-01,Century Tuna Flakes in Oil,CAN-CTF-155,6,Canned Goods,38.00,48.00
2023-08-01,Nescafé 3-in-1 Original,BEV-N3N-01,3,Beverages,5.00,7.00
2023-08-01,San Miguel Pale Pilsen 330ml,BEV-SMB-330,4,Beverages,50.00,65.00
2023-08-01,Coca-Cola 1.5L,BEV-CCR-15L,6,Beverages,55.00,70.00
2023-08-01,Milo Powdered Drink 33g Sachet,BEV-MIL-33,8,Beverages,6.00,9.00
2023-08-01,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,7,Beverages,6.00,9.00
2023-08-01,Sky Flakes Crackers,SNK-SKF-01,2,Snacks,8.00,12.00
2023-08-01,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-01,Surf Detergent Powder 65g,HSH-SRF-65,4,Household,6.00,9.00
2023-08-01,Safeguard Soap 90g,BDY-SFG-90,4,Body Care,22.00,30.00
2023-08-01,Colgate Toothpaste 150g,BDY-COL-150,5,Body Care,55.00,72.00
2023-08-01,Palmolive Shampoo Sachet,BDY-PLM-01,6,Body Care,5.00,8.00
2023-08-01,Datu Puti Soy Sauce 385ml,CON-DTP-385,4,Condiments,18.00,25.00
2023-08-01,Bear Brand Powdered Milk 320g,DRY-BBM-320,5,Dairy,70.00,90.00
2023-08-01,Pandesal 10pcs,BKY-PDS-10,5,Bakery,45.00,60.00
2023-08-01,Fresh Eggs Tray 30s,FRS-EGG-30,1,Fresh,210.00,260.00
2023-08-01,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-02,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,6,Pantry,60.00,75.00
2023-08-02,Lucky Me Pancit Canton,PNT-LMC-55G,11,Pantry,10.00,14.00
2023-08-02,Argentina Corned Beef 175g,CAN-ACB-175,3,Canned Goods,45.00,55.00
2023-08-02,Century Tuna Flakes in Oil,CAN-CTF-155,5,Canned Goods,38.00,48.00
2023-08-02,Nescafé 3-in-1 Original,BEV-N3N-01,10,Beverages,5.00,7.00
2023-08-02,San Miguel Pale Pilsen 330ml,BEV-SMB-330,4,Beverages,50.00,65.00
2023-08-02,Coca-Cola 1.5L,BEV-CCR-15L,7,Beverages,55.00,70.00
2023-08-02,Milo Powdered Drink 33g Sachet,BEV-MIL-33,7,Beverages,6.00,9.00
2023-08-02,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,7,Beverages,6.00,9.00
2023-08-02,Sky Flakes Crackers,SNK-SKF-01,6,Snacks,8.00,12.00
2023-08-02,Chippy Barbecue 110g,SNK-CHP-110,5,Snacks,12.00,18.00
2023-08-02,Safeguard Soap 90g,BDY-SFG-90,2,Body Care,22.00,30.00
2023-08-02,Colgate Toothpaste 150g,BDY-COL-150,4,Body Care,55.00,72.00
2023-08-02,Palmolive Shampoo Sachet,BDY-PLM-01,9,Body Care,5.00,8.00
2023-08-02,Datu Puti Soy Sauce 385ml,CON-DTP-385,5,Condiments,18.00,25.00
2023-08-02,Bear Brand Powdered Milk 320g,DRY-BBM-320,5,Dairy,70.00,90.00
2023-08-02,Pandesal 10pcs,BKY-PDS-10,4,Bakery,45.00,60.00
2023-08-02,Fresh Eggs Tray 30s,FRS-EGG-30,5,Fresh,210.00,260.00
2023-08-02,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-03,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,4,Pantry,60.00,75.00
2023-08-03,Lucky Me Pancit Canton,PNT-LMC-55G,14,Pantry,10.00,14.00
2023-08-03,Argentina Corned Beef 175g,CAN-ACB-175,4,Canned Goods,45.00,55.00
2023-08-03,Century Tuna Flakes in Oil,CAN-CTF-155,5,Canned Goods,38.00,48.00
2023-08-03,Nescafé 3-in-1 Original,BEV-N3N-01,8,Beverages,5.00,7.00
2023-08-03,San Miguel Pale Pilsen 330ml,BEV-SMB-330,4,Beverages,50.00,65.00
2023-08-03,Coca-Cola 1.5L,BEV-CCR-15L,3,Beverages,55.00,70.00
2023-08-03,Milo Powdered Drink 33g Sachet,BEV-MIL-33,12,Beverages,6.00,9.00
2023-08-03,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,10,Beverages,6.00,9.00
2023-08-03,Sky Flakes Crackers,SNK-SKF-01,6,Snacks,8.00,12.00
2023-08-03,Chippy Barbecue 110g,SNK-CHP-110,7,Snacks,12.00,18.00
2023-08-03,Surf Detergent Powder 65g,HSH-SRF-65,8,Household,6.00,9.00
2023-08-03,Safeguard Soap 90g,BDY-SFG-90,4,Body Care,22.00,30.00
2023-08-03,Colgate Toothpaste 150g,BDY-COL-150,1,Body Care,55.00,72.00
2023-08-03,Palmolive Shampoo Sachet,BDY-PLM-01,8,Body Care,5.00,8.00
2023-08-03,Datu Puti Soy Sauce 385ml,CON-DTP-385,7,Condiments,18.00,25.00
2023-08-03,Bear Brand Powdered Milk 320g,DRY-BBM-320,4,Dairy,70.00,90.00
2023-08-03,Pandesal 10pcs,BKY-PDS-10,9,Bakery,45.00,60.00
2023-08-03,Fresh Eggs Tray 30s,FRS-EGG-30,6,Fresh,210.00,260.00
2023-08-03,CDO Hotdog 1kg,FRS-HTD-1K,3,Fresh,180.00,230.00
2023-08-04,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,11,Pantry,60.00,75.00
2023-08-04,Lucky Me Pancit Canton,PNT-LMC-55G,13,Pantry,10.00,14.00
2023-08-04,Argentina Corned Beef 175g,CAN-ACB-175,6,Canned Goods,45.00,55.00
2023-08-04,Century Tuna Flakes in Oil,CAN-CTF-155,7,Canned Goods,38.00,48.00
2023-08-04,Nescafé 3-in-1 Original,BEV-N3N-01,9,Beverages,5.00,7.00
2023-08-04,San Miguel Pale Pilsen 330ml,BEV-SMB-330,3,Beverages,50.00,65.00
2023-08-04,Coca-Cola 1.5L,BEV-CCR-15L,11,Beverages,55.00,70.00
2023-08-04,Milo Powdered Drink 33g Sachet,BEV-MIL-33,9,Beverages,6.00,9.00
2023-08-04,Kopiko 3-in-1 Coffee Sachet,BEV-KPK-01,10,Beverages,6.00,9.00
2023-08-04,Chippy Barbecue 110g,SNK-CHP-110,14,Snacks,12.00,18.00
2023-08-04,Surf Detergent Powder 65g,HSH-SRF-65,9,Household,6.00,9.00
2023-08-04,Safeguard Soap 90g,BDY-SFG-90,8,Body Care,22.00,30.00
2023-08-04,Colgate Toothpaste 150g,BDY-COL-150,6,Body Care,55.00,72.00
2023-08-04,Palmolive Shampoo Sachet,BDY-PLM-01,11,Body Care,5.00,8.00
2023-08-04,Datu Puti Soy Sauce 385ml,CON-DTP-385,7,Condiments,18.00,25.00
2023-08-04,Bear Brand Powdered Milk 320g,DRY-BBM-320,3,Dairy,70.00,90.00
2023-08-04,Pandesal 10pcs,BKY-PDS-10,13,Bakery,45.00,60.00
2023-08-04,Fresh Eggs Tray 30s,FRS-EGG-30,9,Fresh,210.00,260.00
2023-08-04,CDO Hotdog 1kg,FRS-HTD-1K,4,Fresh,180.00,230.00
2023-08-05,Golden Fiesta Cooking Oil 1L,PNT-OIL-1L,5,Pantry,60.00,75.00
2023-08-05,Lucky Me Pancit Canton,PNT-LMC-55G,26,Pantry,10.00,14.00
